V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang)
2.5,1.5319999999999998,2.694,0.056499035655060946,0.09848408645987637,0.2449489742783178,2.168880748120702,1.2456092975975994,2.2871493645465653,1.2725307899027511
2.7,1.462,2.428,0.05393794063154513,0.08897471786905463,0.23570226039551584,2.1859991741626157,1.326295508558829,2.2871493645465653,1.2725307899027511
2.9,1.396,2.3819999999999997,0.051520586311865575,0.08732342234076462,0.227429413073671,2.208147016503748,1.3038810413067565,2.2871493645465653,1.2725307899027511
3.1,1.308,2.322,0.04829370254474474,0.0851666680391487,0.21997067253202993,2.2783115582801097,1.2929754323670526,2.2871493645465653,1.2725307899027511
3.3,1.254,2.286,0.04631155217939611,0.08387107234635577,0.21320071635561044,2.302632238783929,1.272494023578062,2.2871493645465653,1.2725307899027511
3.5,1.196,2.2680000000000002,0.04418095032575371,0.08322284677427169,0.20701966780270625,2.343623558451013,1.2452039327850053,2.2871493645465653,1.2725307899027511
3.7,1.182,2.2319999999999998,0.04366642306179391,0.08192555014410116,0.2013468165642073,2.3062435990556396,1.230215883935099,2.2871493645465653,1.2725307899027511
3.9,1.1740000000000002,2.1959999999999997,0.04337236577843644,0.08062713955090074,0.19611613513818404,2.261551022428178,1.2175105100149721,2.2871493645465653,1.2725307899027511
4.1,1.13,2.048,0.041754518345049375,0.07527787181180089,0.19127301391900148,2.2911125746406595,1.271647155135698,2.2871493645465653,1.2725307899027511
4.3,1.1,2.004,0.04065093580419824,0.07368413790661368,0.1867718419094071,2.2978965694932465,1.2685291752535237,2.2871493645465653,1.2725307899027511
4.5,1.042,1.922,0.03851622624505257,0.07070999254595678,0.18257418583505536,2.370680527540369,1.2920834118010085,2.2871493645465653,1.2725307899027511
4.7,1.026,1.8719999999999999,0.03792708984446298,0.06889400020258,0.1786474002526241,2.3557071979531763,1.2975643708250348,2.2871493645465653,1.2725307899027511
4.9,1.002,1.86,0.03704318787434109,0.06845788787757388,0.1749635530559413,2.3621559536919623,1.2788905255771228,2.2871493645465653,1.2725307899027511
