V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dInAvg(ang),dOutAvg(ang),dIn (ang),dOut (ang)
V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang),2.7632877010607673,1.3297508607701531
2500.0,1.42,2.576,0.05239991,0.094274127,0.201346817,1.922131046,1.069462967,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
2700.0,1.302,2.49,0.048073538,0.091197271,0.227429413,2.36634382,1.248639184,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
2900.0,1.296,2.408,0.047853354,0.088257002,0.174963553,1.828820054,0.992504254,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
3100.0,1.322,2.204,0.048807347,0.080915771,0.219970673,2.254353519,1.360741498,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
3300.0,1.188,2.236,0.043886946,0.08206975,0.182574186,2.080719021,1.113560728,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
3500.0,1.192,2.198,0.044033952,0.080699302,0.196116135,2.227593915,1.21642415,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
3700.0,1.084,2.094,0.040062195,0.076942401,0.191273014,2.387839538,1.244189602,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
3900.0,1.198,2.216,0.044254447,0.081348615,0.244948974,2.768410466,1.50721278,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
4100.0,1.102,1.998,0.04072452,0.073466693,0.1786474,2.19397047,1.216933813,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
4300.0,1.112,1.948,0.041092417,0.07165357,0.213200716,2.594891524,1.488992543,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
4500.0,1.096,1.866,0.040503761,0.068675957,0.207019668,2.556259923,1.508406265,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
4700.0,1.052,1.998,0.038884382,0.073466693,0.23570226,3.03157276,1.605587599,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
4900.0,1.06,1.792,0.039178877,0.065984623,0.186771842,2.384188227,1.416295465,2.353622637,1.306842373,2.7632877010607673,1.3297508607701531
